;Ap;Høyre;Frp;SV;Sp;KrF;Venstre;MDG;Rødt;Andre
November '21;26,6 (48);21,4 (39);10,9 (20);8,5 (15);13,0 (26);3,2 (2);4,7 (8);3,8 (2);5,2 (9);2,8 (0)
Oktober '21;26,8 (48);20,7 (37);11,2 (20);8,8 (16);13,1 (26);3,4 (2);4,6 (8);3,7 (3);4,9 (9);2,8 (0)
September '21;24,4 (46);19,4 (34);11,3 (20);9,2 (16);12,9 (25);4,0 (3);4,7 (8);4,9 (8);5,4 (9);3,8 (0)
August '21;24,0 (46);20,1 (34);10,3 (18);8,8 (15);14,1 (29);3,6 (2);4,1 (7);5,5 (9);5,2 (9);4,4 (0)
Juli '21;24,3 (46);20,0 (35);9,9 (17);7,7 (14);17,6 (35);3,2 (2);3,5 (2);4,5 (8);5,6 (10);3,9 (0)
Juni '21;24,5 (45);21,6 (38);10,2 (18);7,8 (14);17,5 (35);3,3 (2);2,9 (1);4,1 (7);5,2 (9);3,0 (0)
Mai '21;24,0 (45);22,6 (39);10,3 (18);8,0 (14);16,5 (33);3,8 (3);3,3 (2);4,1 (7);4,3 (8);3,0 (0)
April '21;23,6 (43);23,5 (40);9,9 (17);8,0 (14);17,5 (36);3,4 (3);2,9 (2);4,3 (7);4,2 (7);2,8 (0)
Mars '21;22,2 (42);24,1 (43);9,7 (18);7,6 (14);19,0 (37);3,1 (2);3,0 (2);3,8 (3);4,4 (8);3,0 (0)
Februar '21;21,4 (41);25,6 (47);8,5 (16);7,4 (14);19,3 (37);3,2 (3);3,2 (2);4,5 (8);3,9 (1);3,1 (0)
Januar '21;20,4 (39);24,7 (43);9,5 (17);8,0 (14);20,7 (38);3,4 (3);2,5 (1);4,0 (7);4,0 (7);2,7 (0)
Desember '20;21,2 (40);22,3 (38);11,0 (19);7,5 (13);21,0 (40);3,4 (3);3,3 (2);4,1 (7);4,1 (7);2,0 (0)
November '20;21,5 (42);23,2 (39);12,1 (21);7,2 (12);18,6 (36);3,3 (3);3,4 (2);4,3 (7);4,1 (7);2,3 (0)
Oktober '20;21,4 (42);24,5 (41);12,7 (21);7,0 (12);16,3 (33);3,6 (3);3,5 (2);4,4 (7);4,4 (8);2,1 (0)
September '20;22,9 (43);24,7 (44);12,6 (22);7,8 (14);14,1 (26);3,7 (3);3,2 (2);4,7 (8);4,1 (7);2,2 (0)
August '20;24,4 (46);25,4 (44);11,0 (19);7,3 (12);14,0 (27);3,8 (3);2,9 (2);5,1 (9);4,3 (7);1,8 (0)
Juli '20;24,1 (46);25,8 (45);10,6 (18);7,5 (13);13,2 (24);3,9 (3);3,2 (2);5,1 (9);5,0 (9);1,8 (0)
Juni '20;24,2 (46);25,0 (42);11,6 (20);7,2 (12);14,1 (27);3,6 (3);3,0 (2);5,2 (9);4,6 (8);1,7 (0)
Mai '20;25,9 (49);26,7 (50);9,9 (18);6,7 (12);14,0 (26);3,4 (2);3,1 (2);5,0 (9);4,0 (1);1,5 (0)
April '20;24,9 (46);26,0 (48);11,5 (21);7,3 (13);14,4 (27);3,6 (3);3,0 (2);4,5 (8);3,6 (1);1,3 (0)
Mars '20;24,6 (46);20,5 (34);12,9 (22);7,7 (13);16,6 (33);3,3 (3);3,1 (2);5,4 (9);4,3 (7);1,7 (0)
Februar '20;24,1 (44);19,0 (33);15,0 (28);6,9 (12);15,2 (28);4,0 (3);3,8 (3);5,5 (10);4,4 (8);1,9 (0)
Januar '20;25,5 (46);20,5 (36);12,8 (22);7,2 (12);15,9 (31);3,5 (3);2,7 (2);5,1 (9);4,6 (8);2,2 (0)
Desember '19;23,2 (43);21,2 (36);10,7 (18);7,6 (13);17,8 (36);3,4 (3);3,1 (2);5,6 (9);5,1 (9);2,4 (0)
November '19;22,5 (42);21,0 (36);9,8 (17);7,3 (13);19,2 (37);3,3 (3);3,2 (2);6,3 (11);4,9 (8);2,6 (0)
Oktober '19;23,6 (43);21,0 (36);9,8 (17);7,3 (12);17,3 (36);3,6 (3);3,4 (2);6,7 (12);4,6 (8);2,7 (0)
September '19;23,0 (43);21,3 (36);11,5 (20);7,6 (13);16,3 (34);3,6 (3);3,0 (2);6,7 (11);4,1 (7);3,1 (0)
August '19;24,0 (46);22,3 (38);10,2 (18);7,2 (12);15,2 (31);3,7 (3);2,9 (2);5,9 (10);5,1 (9);3,7 (0)
Juli '19;25,0 (48);21,6 (38);8,2 (15);7,7 (14);14,2 (30);3,9 (3);4,0 (3);5,2 (9);5,0 (9);5,5 (0)
Juni '19;25,3 (48);22,0 (39);10,4 (18);6,8 (12);14,7 (30);3,2 (2);2,7 (1);5,4 (9);5,6 (10);3,9 (0)
Mai '19;26,0 (49);21,7 (38);12,2 (21);7,1 (12);14,5 (29);3,4 (3);2,8 (1);4,2 (7);5,1 (9);3,1 (0)
April '19;26,2 (48);22,5 (40);10,6 (19);7,5 (14);15,9 (32);3,5 (3);2,9 (2);3,9 (3);4,5 (8);2,6 (0)
Mars '19;26,7 (48);24,3 (42);11,3 (19);7,5 (13);13,7 (28);3,4 (2);2,2 (1);4,0 (7);5,0 (9);1,9 (0)
Februar '19;28,0 (52);22,9 (42);11,3 (20);7,7 (14);13,2 (25);3,5 (3);2,6 (1);3,4 (2);5,5 (10);2,0 (0)
Januar '19;28,3 (52);24,2 (45);12,3 (23);7,4 (14);11,9 (22);3,5 (3);3,3 (2);3,1 (1);4,0 (7);1,4 (0)
Desember '18;27,7 (52);25,0 (45);13,0 (24);7,0 (13);11,4 (21);3,6 (3);3,6 (3);3,0 (1);4,1 (7);1,3 (0)
November '18;28,7 (55);25,4 (48);12,8 (24);6,3 (12);11,3 (22);3,9 (3);3,7 (3);2,7 (1);3,9 (1);1,4 (0)
Oktober '18;27,2 (50);25,7 (48);13,3 (25);6,8 (13);11,0 (20);4,1 (8);3,4 (3);2,8 (1);3,9 (1);1,8 (0)
September '18;26,5 (50);26,2 (48);13,9 (25);6,4 (12);10,8 (20);3,5 (3);3,4 (2);2,8 (1);4,6 (8);1,9 (0)
August '18;26,1 (48);25,8 (46);12,8 (23);6,7 (12);11,7 (21);4,2 (7);3,8 (3);3,1 (1);4,6 (8);1,3 (0)
Juli '18;23,7 (46);26,3 (49);14,8 (27);7,5 (14);9,7 (18);5,0 (9);3,4 (2);3,7 (3);3,9 (1);2,0 (0)
Juni '18;23,2 (45);27,2 (48);13,4 (23);7,3 (12);11,0 (18);4,1 (7);4,1 (7);3,0 (1);4,8 (8);1,9 (0)
Mai '18;24,1 (45);26,8 (49);14,9 (27);7,2 (13);10,7 (19);4,0 (7);4,0 (7);2,9 (1);3,7 (1);1,7 (0)
April '18;23,8 (43);25,8 (46);15,8 (29);7,3 (13);10,9 (19);4,2 (7);3,7 (3);2,8 (1);4,3 (8);1,4 (0)
Mars '18;23,7 (43);27,1 (49);15,2 (28);6,6 (12);11,3 (20);4,0 (7);4,2 (8);2,9 (1);3,3 (1);1,5 (0)
Februar '18;23,3 (45);28,6 (51);13,7 (24);7,3 (13);10,7 (19);4,0 (7);4,3 (8);3,4 (1);3,2 (1);1,2 (0)
Januar '18;22,4 (43);29,0 (52);14,2 (25);7,5 (13);11,1 (20);4,2 (7);4,1 (7);3,0 (1);3,0 (1);1,4 (0)
Desember '17;26,2 (48);26,6 (47);14,4 (25);7,1 (13);10,6 (19);4,1 (7);4,0 (7);3,4 (2);2,4 (1);1,2 (0)
November '17;26,2 (49);26,4 (48);14,6 (27);6,9 (13);10,5 (19);3,8 (3);4,3 (8);2,8 (1);3,0 (1);1,2 (0)
Oktober '17;26,1 (48);26,5 (49);13,9 (26);6,6 (12);10,5 (19);3,8 (3);4,3 (8);3,7 (3);2,8 (1);1,5 (0)
September '17;26,9 (50);24,4 (44);14,6 (26);6,1 (11);10,2 (18);4,4 (8);4,2 (8);3,9 (3);3,3 (1);1,8 (0)
August '17;27,9 (51);23,8 (43);14,5 (26);5,6 (10);10,7 (19);4,8 (9);3,6 (3);4,0 (7);3,0 (1);2,0 (0)
Juli '17;32,1 (60);22,0 (39);13,3 (23);4,6 (8);11,4 (20);4,9 (9);3,4 (2);4,0 (7);2,3 (1);2,2 (0)
Juni '17;31,7 (59);23,1 (43);13,4 (25);4,3 (8);12,1 (22);4,5 (8);3,3 (2);3,2 (1);2,4 (1);2,1 (0)
Mai '17;31,8 (58);23,5 (43);13,0 (24);4,2 (8);12,3 (23);4,7 (9);3,2 (2);2,8 (1);2,6 (1);1,8 (0)
April '17;31,7 (58);23,3 (43);12,8 (23);4,6 (8);12,3 (23);4,8 (9);3,7 (3);2,7 (1);2,3 (1);1,7 (0)
Mars '17;32,5 (60);23,3 (43);12,6 (23);4,4 (8);11,6 (21);5,0 (9);3,9 (3);2,7 (1);2,4 (1);1,7 (0)
Februar '17;33,1 (61);23,4 (42);14,0 (26);4,1 (8);9,8 (18);4,9 (9);4,0 (3);2,8 (1);2,1 (1);1,7 (0)
Januar '17;35,5 (66);23,4 (41);13,9 (24);4,3 (7);7,8 (13);5,2 (9);4,0 (7);2,5 (1);2,1 (1);1,3 (0)
Desember '16;36,1 (68);23,1 (40);14,0 (25);4,3 (8);7,1 (12);4,8 (8);4,0 (7);2,8 (1);1,9 (0);1,7 (0)
November '16;36,3 (70);23,8 (41);12,5 (21);4,3 (7);7,0 (12);5,1 (9);4,6 (8);2,9 (1);2,0 (0);1,6 (0)
Oktober '16;36,6 (69);24,5 (45);13,5 (24);3,8 (2);6,7 (12);4,5 (8);4,3 (8);2,6 (1);1,8 (0);1,5 (0)
September '16;34,6 (64);24,8 (44);14,5 (25);4,1 (7);7,1 (12);4,8 (8);4,3 (8);2,7 (1);1,7 (0);1,4 (0)
August '16;35,4 (65);24,8 (46);14,4 (26);3,8 (2);6,5 (12);4,7 (9);4,1 (8);3,1 (1);1,5 (0);1,6 (0)
Juli '16;31,3 (57);25,4 (46);15,0 (27);4,2 (7);7,4 (13);5,1 (9);4,6 (8);2,8 (1);2,4 (1);0,6 (0)
Juni '16;34,1 (64);23,3 (40);15,9 (28);4,4 (8);6,2 (11);5,0 (9);4,3 (7);3,5 (2);1,7 (0);1,4 (0)
Mai '16;33,6 (63);23,9 (41);15,5 (28);4,0 (7);6,6 (11);5,3 (9);4,4 (8);3,1 (1);2,1 (1);1,2 (0)
April '16;33,8 (64);23,7 (41);16,4 (29);4,2 (7);6,1 (10);5,3 (9);4,5 (8);3,2 (1);1,5 (0);1,3 (0)
Mars '16;32,5 (60);25,2 (47);16,7 (31);3,9 (2);6,2 (11);4,8 (9);4,5 (8);3,2 (1);1,9 (0);1,1 (0)
Februar '16;33,0 (63);24,1 (41);16,7 (29);4,2 (7);5,7 (10);5,2 (9);4,2 (7);3,8 (3);2,0 (0);1,2 (0)
Januar '16;32,7 (62);24,2 (42);16,4 (29);4,0 (7);5,9 (10);4,8 (8);4,5 (8);4,0 (3);2,0 (0);1,3 (0)
Desember '15;34,0 (64);22,0 (38);17,5 (31);3,7 (2);6,0 (10);5,0 (9);4,1 (7);4,3 (8);1,9 (0);1,3 (0)
November '15;35,1 (65);22,0 (39);16,3 (29);3,9 (2);6,1 (11);4,9 (9);4,3 (7);4,1 (7);2,0 (0);1,4 (0)
Oktober '15;36,4 (71);22,9 (37);12,0 (19);4,2 (7);6,6 (11);5,5 (9);5,2 (8);4,2 (7);1,8 (0);1,1 (0)
September '15;35,6 (69);23,3 (38);12,2 (20);4,1 (7);6,3 (10);5,7 (9);5,2 (8);4,8 (8);1,4 (0);1,1 (0)
August '15;36,3 (70);23,8 (42);12,7 (21);4,0 (2);5,8 (10);4,9 (8);4,5 (8);4,7 (8);1,7 (0);1,7 (0)
Juli '15;37,6 (73);22,7 (39);12,8 (20);4,3 (7);5,1 (8);5,1 (8);4,6 (7);4,3 (7);1,7 (0);1,8 (0)
Juni '15;39,0 (75);22,5 (38);12,3 (21);3,5 (1);5,7 (10);5,4 (9);4,5 (8);4,4 (7);1,5 (0);1,2 (0)
Mai '15;38,0 (73);24,0 (41);12,0 (20);3,6 (1);5,8 (10);5,2 (9);4,6 (8);4,1 (7);1,5 (0);1,4 (0)
April '15;39,5 (75);23,0 (41);11,0 (20);3,6 (1);5,6 (10);5,7 (10);4,9 (9);4,0 (3);1,4 (0);1,0 (0)
Mars '15;41,4 (78);22,7 (41);10,4 (19);3,6 (1);5,8 (11);5,5 (10);4,5 (8);3,2 (1);1,5 (0);1,0 (0)
Februar '15;41,9 (76);21,3 (39);11,2 (20);3,9 (2);5,7 (10);5,3 (10);4,7 (9);3,6 (3);1,4 (0);1,1 (0)
Januar '15;41,5 (77);22,6 (41);11,3 (20);3,7 (2);5,4 (10);5,3 (9);4,6 (8);3,4 (2);1,2 (0);1,1 (0)
Desember '14;41,4 (77);22,5 (40);11,3 (20);3,8 (2);5,2 (9);5,4 (10);4,7 (8);3,5 (3);1,3 (0);0,9 (0)
November '14;40,2 (75);22,6 (40);11,5 (21);3,9 (2);5,3 (9);5,9 (11);4,7 (8);3,5 (3);1,4 (0);1,0 (0)
Oktober '14;37,3 (70);25,2 (45);13,5 (24);3,6 (2);5,2 (9);4,7 (8);4,6 (8);3,6 (3);1,3 (0);1,1 (0)
September '14;35,0 (66);26,6 (47);14,1 (25);3,6 (1);5,0 (9);5,1 (9);4,8 (9);3,5 (3);1,2 (0);1,0 (0)
August '14;34,5 (66);26,9 (47);13,9 (25);3,9 (2);5,2 (9);5,1 (9);4,7 (8);3,7 (3);1,2 (0);1,2 (0)
Juli '14;36,3 (70);26,8 (47);12,3 (22);3,0 (1);5,3 (9);4,6 (8);5,3 (9);3,6 (3);1,5 (0);1,2 (0)
Juni '14;35,0 (67);26,3 (46);13,8 (25);3,5 (1);5,3 (9);5,2 (9);4,8 (9);3,6 (3);1,3 (0);1,3 (0)
Mai '14;33,9 (66);26,9 (44);13,7 (23);4,0 (7);5,1 (8);5,3 (9);5,2 (9);3,4 (3);1,3 (0);1,2 (0)
April '14;34,2 (66);27,5 (49);14,0 (25);3,7 (2);4,5 (8);5,4 (9);5,3 (9);3,0 (1);1,3 (0);1,3 (0)
Mars '14;34,6 (66);26,9 (48);14,3 (25);3,8 (2);4,9 (9);5,0 (9);5,1 (9);3,1 (1);1,4 (0);1,1 (0)
Februar '14;33,8 (65);28,7 (51);13,3 (24);3,9 (2);4,9 (9);5,3 (9);4,8 (8);3,0 (1);1,2 (0);1,1 (0)
Januar '14;33,5 (65);29,1 (52);13,6 (24);3,9 (2);4,5 (8);5,3 (9);4,7 (8);3,1 (1);1,2 (0);1,2 (0)
Desember '13;33,3 (65);27,8 (49);14,2 (25);3,9 (2);4,8 (8);5,4 (10);5,2 (9);2,9 (1);1,2 (0);1,3 (0)
November '13;32,2 (61);27,9 (46);14,5 (28);4,0 (7);5,0 (8);5,4 (9);5,4 (9);3,3 (1);1,2 (0);1,1 (0)
Oktober '13;31,9 (61);27,8 (46);14,6 (28);4,1 (7);4,7 (8);5,5 (9);5,6 (9);3,2 (1);1,3 (0);1,3 (0)
September '13;29,7 (55);27,0 (46);15,9 (31);4,8 (8);5,1 (9);6,0 (10);5,5 (9);3,2 (1);1,4 (0);1,4 (0)
August '13;29,0 (53);28,9 (51);15,2 (28);4,3 (7);5,3 (9);5,4 (10);5,3 (9);3,5 (2);1,5 (0);1,5 (0)
Juli '13;28,0 (52);31,6 (58);16,2 (31);3,9 (1);4,6 (8);5,2 (9);5,2 (9);2,3 (1);1,9 (0);1,2 (0)
Juni '13;28,6 (52);32,0 (55);16,4 (31);4,3 (7);4,5 (8);5,3 (9);4,2 (7);1,5 (0);1,5 (0);1,5 (0)
Mai '13;28,9 (52);31,8 (55);16,0 (29);4,7 (8);4,5 (8);5,3 (9);4,7 (8);1,4 (0);1,5 (0);1,3 (0)
April '13;27,7 (51);32,6 (55);16,5 (30);5,0 (8);4,8 (8);5,1 (9);4,5 (8);1,0 (0);1,5 (0);1,4 (0)
Mars '13;28,1 (51);32,4 (54);16,8 (32);4,4 (7);4,8 (8);5,2 (9);4,7 (8);1,0 (0);1,4 (0);1,1 (0)
Februar '13;28,4 (52);32,9 (55);15,6 (29);4,9 (8);4,7 (8);5,3 (9);4,5 (8);0,9 (0);1,4 (0);1,3 (0)
Januar '13;28,6 (52);33,6 (57);15,9 (30);4,1 (7);4,4 (7);5,5 (9);4,4 (7);0,6 (0);1,4 (0);1,3 (0)
Desember '12;28,6 (52);32,0 (54);16,2 (31);4,3 (7);4,7 (8);5,3 (9);5,2 (8);0,6 (0);1,8 (0);1,2 (0)
November '12;29,6 (53);31,4 (54);17,0 (31);4,4 (7);4,5 (8);5,0 (8);4,9 (8);0,3 (0);1,5 (0);1,2 (0)
Oktober '12;27,8 (50);33,9 (59);17,2 (32);4,1 (6);4,4 (7);5,0 (8);4,5 (7);0,5 (0);1,4 (0);1,3 (0)
September '12;29,2 (54);33,5 (62);16,6 (30);3,9 (2);4,3 (8);5,2 (10);3,9 (3);0,6 (0);1,8 (0);1,0 (0)
August '12;30,2 (54);31,6 (57);17,3 (31);4,0 (2);4,4 (8);4,6 (8);4,7 (9);0,2 (0);1,7 (0);1,3 (0)
Juli '12;29,8 (53);30,5 (54);18,4 (34);3,9 (2);4,8 (9);5,0 (9);4,4 (8);0,2 (0);1,2 (0);1,5 (0)
Juni '12;29,9 (53);32,0 (56);16,2 (31);4,3 (7);4,7 (7);4,7 (7);4,8 (8);0,1 (0);1,5 (0);1,8 (0)
Mai '12;30,8 (55);30,9 (53);16,0 (30);4,2 (7);4,6 (8);5,1 (8);4,7 (8);0,2 (0);1,5 (0);1,9 (0)
April '12;30,5 (54);29,4 (50);17,3 (32);4,5 (7);5,1 (9);5,1 (8);5,2 (9);0,2 (0);1,4 (0);1,4 (0)
Mars '12;32,9 (61);27,9 (46);16,3 (29);4,5 (7);5,3 (9);5,4 (9);4,6 (8);0,2 (0);1,3 (0);1,7 (0)
Februar '12;34,4 (66);27,9 (45);14,4 (25);4,8 (8);5,1 (8);5,1 (8);5,3 (9);0,0 (0);1,3 (0);1,6 (0)
Januar '12;34,7 (65);29,3 (49);13,7 (23);4,1 (7);5,0 (8);5,3 (9);4,9 (8);0,0 (0);1,7 (0);1,3 (0)
Desember '11;32,7 (60);29,6 (49);15,0 (28);4,2 (7);5,2 (8);5,4 (9);5,1 (8);0,0 (0);1,3 (0);1,6 (0)
November '11;32,7 (60);29,1 (48);15,2 (28);4,4 (7);5,3 (9);5,1 (8);5,2 (9);0,0 (0);1,5 (0);1,5 (0)
Oktober '11;33,9 (65);29,3 (49);13,8 (23);4,5 (7);4,6 (8);5,3 (9);4,9 (8);0,0 (0);1,7 (0);1,8 (0)
September '11;34,0 (63);27,1 (45);16,5 (29);4,3 (7);5,2 (8);4,7 (8);5,4 (9);0,0 (0);1,6 (0);1,4 (0)
August '11;38,4 (72);22,5 (37);17,2 (30);5,3 (8);4,5 (7);5,1 (8);4,1 (7);0,0 (0);1,5 (0);1,2 (0)
Juli '11;31,2 (56);27,0 (45);19,7 (37);5,5 (9);4,5 (7);4,9 (8);4,4 (7);0,0 (0);1,3 (0);1,1 (0)
Juni '11;29,1 (51);29,0 (50);19,1 (34);5,2 (9);5,0 (9);5,4 (9);4,3 (7);0,0 (0);1,6 (0);1,2 (0)
Mai '11;29,9 (54);27,3 (45);19,2 (36);5,6 (9);5,1 (8);4,9 (8);5,3 (9);0,0 (0);1,6 (0);1,1 (0)
April '11;29,3 (53);27,0 (46);18,9 (36);5,8 (9);5,3 (8);5,0 (8);5,3 (9);0,0 (0);1,6 (0);1,7 (0)
Mars '11;28,2 (51);27,2 (46);22,2 (40);6,0 (10);4,9 (8);4,4 (7);4,1 (7);0,0 (0);1,6 (0);1,3 (0)
Februar '11;27,7 (51);26,2 (43);23,2 (42);5,7 (9);4,9 (8);4,8 (8);4,8 (8);0,0 (0);1,5 (0);1,2 (0)
Januar '11;27,5 (50);26,3 (44);23,8 (43);5,5 (9);4,9 (8);4,6 (8);4,3 (7);0,0 (0);1,5 (0);1,5 (0)
Desember '10;26,1 (50);26,1 (43);25,3 (44);5,8 (9);4,9 (8);4,7 (8);4,2 (7);0,0 (0);1,5 (0);1,4 (0)
November '10;27,7 (50);26,2 (44);24,1 (43);5,5 (9);4,9 (8);4,6 (8);4,4 (7);0,0 (0);1,5 (0);1,0 (0)
Oktober '10;28,9 (51);26,1 (45);23,6 (42);5,4 (9);4,7 (8);4,3 (7);4,1 (7);0,0 (0);1,6 (0);1,3 (0)
September '10;27,5 (51);27,2 (45);22,9 (41);5,5 (9);5,0 (8);4,6 (8);4,5 (7);0,0 (0);1,6 (0);1,2 (0)
August '10;26,6 (49);27,1 (45);22,8 (41);5,6 (9);5,0 (8);5,3 (9);4,6 (8);0,0 (0);1,8 (0);1,2 (0)
Juli '10;29,0 (53);25,5 (43);22,3 (39);5,6 (9);5,4 (9);5,1 (9);4,3 (7);0,0 (0);1,4 (0);1,5 (0)
Juni '10;28,7 (51);24,9 (43);23,5 (43);6,1 (11);5,3 (9);4,9 (9);3,8 (3);0,0 (0);1,5 (0);1,3 (0)
Mai '10;30,2 (55);24,3 (42);22,6 (39);5,9 (9);5,4 (9);4,9 (8);4,1 (7);0,0 (0);1,3 (0);1,3 (0)
April '10;29,8 (52);23,6 (41);23,9 (44);6,2 (11);5,2 (9);5,0 (9);3,8 (3);0,0 (0);1,3 (0);0,6 (0)
Mars '10;31,1 (55);22,2 (37);23,7 (44);6,2 (10);5,2 (8);4,8 (8);4,1 (7);0,0 (0);1,6 (0);0,3 (0)
Februar '10;32,6 (60);22,4 (39);22,7 (39);6,5 (11);5,1 (9);4,3 (8);3,9 (3);0,0 (0);1,5 (0);0,0 (0)
Januar '10;31,3 (57);21,5 (35);23,4 (42);6,5 (11);5,5 (9);5,3 (9);4,0 (6);0,0 (0);1,5 (0);0,0 (0)
Desember '09;30,7 (56);21,5 (36);23,1 (41);7,2 (11);5,4 (9);5,4 (9);4,1 (7);0,0 (0);1,8 (0);0,0 (0)
November '09;34,0 (63);20,1 (33);21,9 (37);6,0 (10);5,8 (10);5,8 (9);4,1 (7);0,0 (0);1,4 (0);0,0 (0)
Oktober '09;35,3 (64);19,3 (32);22,8 (40);6,1 (10);5,4 (9);4,4 (7);4,1 (7);0,0 (0);0,0 (0);0,0 (0)
September '09;32,6 (59);16,2 (27);23,0 (42);7,1 (12);6,0 (10);6,4 (10);5,3 (9);0,0 (0);0,0 (0);0,0 (0)
August '09;32,3 (59);14,1 (23);25,6 (48);7,5 (12);5,9 (9);6,1 (10);5,3 (8);0,0 (0);0,0 (0);0,0 (0)
Juli '09;33,5 (63);13,1 (20);27,5 (51);7,1 (11);5,2 (8);6,0 (9);4,9 (7);0,0 (0);0,0 (0);0,0 (0)
Juni '09;32,8 (60);13,6 (22);26,1 (49);7,2 (11);5,7 (9);5,9 (9);5,6 (9);0,0 (0);0,0 (0);0,0 (0)
Mai '09;32,9 (62);13,8 (21);26,4 (49);7,5 (12);5,0 (8);6,0 (9);5,4 (8);0,0 (0);0,0 (0);0,0 (0)
April '09;32,4 (57);13,9 (23);27,2 (51);7,1 (11);5,8 (9);6,0 (10);4,9 (8);0,0 (0);0,0 (0);0,0 (0)
Mars '09;32,8 (60);13,8 (21);27,3 (51);7,0 (11);5,5 (8);6,2 (10);5,0 (8);0,0 (0);0,0 (0);0,0 (0)
Februar '09;34,0 (64);15,2 (24);23,9 (43);7,1 (11);5,0 (8);5,9 (9);6,1 (10);0,0 (0);0,0 (0);0,0 (0)
Januar '09;33,9 (64);16,1 (25);23,2 (41);7,5 (12);5,5 (9);6,0 (10);4,8 (8);0,0 (0);0,0 (0);0,0 (0)
Desember '08;30,7 (54);17,4 (30);23,7 (45);7,8 (12);5,7 (9);6,3 (10);5,5 (9);0,0 (0);0,4 (0);0,0 (0)
November '08;31,4 (55);15,9 (26);24,2 (45);7,8 (13);5,5 (9);6,6 (11);5,8 (10);0,0 (0);1,4 (0);0,0 (0)
Oktober '08;30,6 (55);16,1 (28);26,7 (49);7,3 (11);5,3 (8);5,6 (9);5,5 (9);0,0 (0);1,2 (0);0,0 (0)
September '08;28,9 (54);15,2 (23);29,9 (56);6,3 (10);5,0 (8);5,7 (9);5,9 (9);0,0 (0);1,5 (0);0,0 (0)
August '08;26,6 (49);16,2 (27);30,9 (54);6,7 (11);5,2 (9);5,5 (9);6,0 (10);0,0 (0);1,7 (0);0,0 (0)
Juli '08;26,9 (51);17,2 (29);30,2 (52);6,6 (10);4,7 (7);6,1 (10);5,4 (9);0,0 (0);1,9 (1);0,0 (0)
Juni '08;26,0 (49);17,6 (29);28,9 (51);6,9 (11);5,3 (9);6,1 (10);5,9 (10);0,0 (0);1,8 (0);0,0 (0)
Mai '08;28,9 (52);17,8 (30);25,9 (47);6,7 (11);5,7 (9);6,2 (10);6,2 (10);0,0 (0);1,4 (0);0,0 (0)
April '08;29,0 (52);16,9 (29);25,4 (47);6,5 (10);5,5 (9);7,0 (11);6,8 (11);0,0 (0);1,2 (0);0,0 (0)
Mars '08;28,7 (52);18,1 (31);25,2 (46);7,0 (11);5,6 (9);6,1 (10);6,3 (10);0,0 (0);1,1 (0);0,0 (0)
Februar '08;29,0 (52);17,3 (29);25,2 (46);6,7 (11);5,9 (10);6,3 (10);6,6 (11);0,0 (0);1,3 (0);0,0 (0)
Januar '08;29,3 (52);17,2 (29);23,9 (45);7,4 (12);6,1 (10);6,4 (10);6,5 (11);0,0 (0);1,3 (0);0,0 (0)
